id,sport,value,team
5420,baseball,Justin Verlander,DET
5831,baseball,Rich Hill,KC
6153,baseball,Edward Mujica,STL
6441,baseball,Wilkin Castillo,MIA
6505,baseball,Ryan Hanigan,CLE
6696,baseball,Andrew McCutchen,TEX
6704,baseball,Jesse Chavez,ATL
6729,baseball,Matt Tuiasosopo,ATL
6739,baseball,Brandon Morrow,LAD
6781,baseball,Reid Brignac,WAS
6804,baseball,Alexi Ogando,CLE
6816,baseball,Alejandro De-Aza,WAS
6837,baseball,Max Scherzer,TOR
6840,baseball,Kyle Kendrick,BOS
6858,baseball,David Price,LAD
6889,baseball,Jason Motte,STL
6892,baseball,Ernesto Frieri,MLW
6916,baseball,Lucas Harrell,TOR
6918,baseball,Charlie Morton,ATL
6922,baseball,Chris Carter,LAA
6966,baseball,Pedro Strop,CHC
6968,baseball,Johnny Cueto,LAA
6999,baseball,Lorenzo Cain,MLW
7037,baseball,Adam Ottavino,NYY
7039,baseball,Emmanuel Burriss,LAA
7063,baseball,Chad Huffman,DET
7093,baseball,Matt Dominguez,BOS
7096,baseball,Ruben Tejada,TOR
7112,baseball,Jason Heyward,SD
7137,baseball,Daniel Bard,COL
7150,baseball,Clayton Kershaw,LAD
7183,baseball,Carlos Carrasco,ATL
7197,baseball,Cedric Hunter,PHI
7199,baseball,Chris Marrero,BOS
7286,baseball,Chris Johnson,BAL
7336,baseball,Antonio Bastardo,ARZ
7381,baseball,Chris Smith,TOR
7384,baseball,David Robertson,PHI
7404,baseball,Julio Teheran,NYM
7406,baseball,Clayton Richard,CWS
7414,baseball,Jon Niese,TEX
7422,baseball,Pablo Sandoval,CLE
7424,baseball,Brian Matusz,ARZ
7435,baseball,Luis Valbuena,LAA
7458,baseball,Michael McKenry,TB
7499,baseball,David Hernandez,CLE
7514,baseball,Carlos Santana,ARZ
7520,baseball,Adam Moore,KC
7535,baseball,Aaron Hicks,LAA
7536,baseball,Jemile Weeks,CHC
7538,baseball,Wilmer Flores,SF
7543,baseball,Nick Noonan,ATH
7544,baseball,Jaff Decker,ATL
7553,baseball,Charlie Blackmon,COL
7567,baseball,Derek Norris,DET
7617,baseball,Fernando Rodriguez,BOS
7622,baseball,Vance Worley,CIN
7623,baseball,Marc Rzepczynski,TOR
7627,baseball,Daniel Hudson,LAD
7634,baseball,Richard Bleier,BOS
7637,baseball,Scott Van-Slyke,MIA
7667,baseball,Tony Sanchez,CIN
7673,baseball,Jacob Turner,DET
7675,baseball,Tyler Matzek,NYY
7677,baseball,Grant Green,MIA
7681,baseball,AJ Pollock,SF
7683,baseball,Shelby Miller,CHC
7689,baseball,Mike Trout,LAA
7709,baseball,Aroldis Chapman,BOS
7717,baseball,Bud Norris,PHI
7729,baseball,Josh Thole,NYY
7736,baseball,Starling Marte,KC
7742,baseball,Justin Turner,CHC
7753,baseball,Chris Heisey,MIN
7760,baseball,Craig Kimbrel,KC
7762,baseball,Jay Jackson,MIN
7766,baseball,Lance Lynn,STL
7789,baseball,Giancarlo Stanton,NYY
