id,value,team
5420,Justin Verlander,DET
5831,Rich Hill,KC
6153,Edward Mujica,STL
6441,Wilkin Castillo,MIA
6505,Ryan Hanigan,CLE
6696,Andrew McCutchen,TEX
6704,Jesse Chavez,ATL
6729,Matt Tuiasosopo,ATL
6739,Brandon Morrow,LAD
6781,Reid Brignac,WAS
6804,Alexi Ogando,CLE
6816,Alejandro De-Aza,WAS
6837,Max Scherzer,TOR
6840,Kyle Kendrick,BOS
6858,David Price,LAD
6889,Jason Motte,STL
6892,Ernesto Frieri,MLW
6916,Lucas Harrell,TOR
6918,Charlie Morton,ATL
6922,Chris Carter,LAA
6966,Pedro Strop,CHC
6968,Johnny Cueto,LAA
6999,Lorenzo Cain,MLW
7037,Adam Ottavino,NYY
7039,Emmanuel Burriss,LAA
7063,Chad Huffman,DET
7093,Matt Dominguez,BOS
7096,Ruben Tejada,TOR
7112,Jason Heyward,SD
7137,Daniel Bard,COL
7150,Clayton Kershaw,LAD
7183,Carlos Carrasco,ATL
7197,Cedric Hunter,PHI
7199,Chris Marrero,BOS
7286,Chris Johnson,BAL
7336,Antonio Bastardo,ARZ
7381,Chris Smith,TOR
7384,David Robertson,PHI
7404,Julio Teheran,NYM
7406,Clayton Richard,CWS
7414,Jon Niese,TEX
7422,Pablo Sandoval,CLE
7424,Brian Matusz,ARZ
7435,Luis Valbuena,LAA
7458,Michael McKenry,TB
7499,David Hernandez,CLE
7514,Carlos Santana,ARZ
7520,Adam Moore,KC
7535,Aaron Hicks,LAA
7536,Jemile Weeks,CHC
7538,Wilmer Flores,SF
7543,Nick Noonan,ATH
7544,Jaff Decker,ATL
7553,Charlie Blackmon,COL
7567,Derek Norris,DET
7617,Fernando Rodriguez,BOS
7622,Vance Worley,CIN
7623,Marc Rzepczynski,TOR
7627,Daniel Hudson,LAD
7634,Richard Bleier,BOS
7637,Scott Van-Slyke,MIA
7667,Tony Sanchez,CIN
7673,Jacob Turner,DET
7675,Tyler Matzek,NYY
7677,Grant Green,MIA
7681,AJ Pollock,SF
7683,Shelby Miller,CHC
7689,Mike Trout,LAA
7709,Aroldis Chapman,BOS
7717,Bud Norris,PHI
7729,Josh Thole,NYY
7736,Starling Marte,KC
7742,Justin Turner,CHC
7753,Chris Heisey,MIN
7760,Craig Kimbrel,KC
7762,Jay Jackson,MIN
7766,Lance Lynn,STL
7789,Giancarlo Stanton,NYY
7791,Martin Perez,ATL
7793,Freddie Freeman,LAD
7795,David Lough,CLE
7837,Mike Montgomery,NYY
7838,Jordan Walden,ATL
7839,Ben Revere,CIN
7844,James Russell,DET
7850,Tyson Ross,TEX
7867,Jose Iglesias,SD
7885,Bryce Harper,PHI
7886,Jameson Taillon,TOR
7887,Chris Sale,ATL
7891,Manny Machado,SD
7892,Delino DeShields,CIN
7903,Christian Yelich,MLW
7909,Alex Wimmers,MIA
7916,Justin O'Conner,TB
7918,Daniel Nava,PIT
7924,Brian Schlitter,ATH
7931,Kenley Jansen,DET
7932,Fernando Abad,COL
7938,Anthony Gose,KC
7954,Michael Kirkman,ATL
7961,Greg Infante,CWS
7964,Chris Hatcher,ATH
7973,Alex Presley,BAL
7986,Ezequiel Carrera,ATL
7989,Al Alburquerque,TOR
7993,Jordan Lyles,KC
7997,Simon Castro,ATH
7999,Josh Collmenter,ATL
8003,Eli Villalobos,MIA
8007,Justin Wilson,BOS
8016,Ivan De Jesus,BOS
8018,Anthony Rizzo,NYY
8020,Randall Delgado,NYY
8026,Kyle Gibson,TB
8028,Casey Kelly,ARZ
8029,Matt Moore,LAA
8035,Tim Collins,COL
8037,Michael Martinez,CLE
8050,Jerry Sands,SF
8052,Cory Gearrin,MIN
8055,Evan Scribner,TB
8056,Alexi Amarista,DET
8058,Alex Cobb,DET
8070,Tony Cruz,CIN
8072,Adam Wilk,CLE
8073,Rubby De-La-Rosa,ARZ
8076,Brandon Crawford,STL
8079,DJ LeMahieu,NYY
8083,Matt Carpenter,STL
8086,Brad Hand,ATL
8090,Bryan Shaw,CWS
8098,David Carpenter,CIN
8116,Jose Altuve,HOU
8117,Ryan Cook,MIA
8122,J.D. Martinez,NYM
8126,Paul Goldschmidt,NYY
8128,Henderson Alvarez III,PIT
8130,Nathan Eovaldi,TEX
8134,Salvador Perez,KC
8137,Wade Miley,CIN
8143,Anthony Recker,ARZ
8159,Martin Maldonado,SD
8160,Logan Schafer,BAL
8165,Efren Navarro,CHC
8168,Eduardo Escobar,LAA
8170,Liam Hendriks,BOS
8176,Jordan Pacheco,MIN
8178,Pedro Florimon,SD
8182,Tim Federowicz,TEX
8185,Steve Lombardozzi,ATH
8188,Brad Peacock,BOS
8189,Drew Pomeranz,CHC
8210,Yu Darvish,SD
