id,value,team
1015,Tyson Chandler,HOU
1023,Joe Johnson,BOS
1091,Mike James,BKN
1120,  Nene,ATL
1128,Luis Scola,BKN
1189,Anderson Varejao,CLE
1193,LeBron James,PHI
1197,Carmelo Anthony,LAL
1243,Kyle Korver,MIL
1253,Udonis Haslem,MIA
1336,Dwight Howard,LAL
1338,Andre Iguodala,GS
1342,Devin Harris,DAL
1352,JR Smith,LAL
1380,Trevor Ariza,LAL
1418,Marvin Williams,MIL
1420,Chris Paul,LAC
1427,Raymond Felton,OKC
1433,Jarrett Jack,NO
1459,C.J. Miles,BOS
1461,Ersan Ilyasova,CHI
1470,Lou Williams,ATL
1480,Amir Johnson,PHI
1517,LaMarcus Aldridge,BKN
1523,Rudy Gay,GS
1526,JJ Redick,DAL
1528,Thabo Sefolosha,HOU
1536,Rajon Rondo,CLE
1539,Kyle Lowry,PHI
1561,Paul Millsap,PHI
1572,J.J. Barea,DAL
1593,Kevin Durant,HOU
1594,Al Horford,GS
1595,Mike Conley,BOS
1596,Jeff Green,HOU
1597,Yi Jianlian,LAL
1599,Brandan Wright,HOU
1600,Joakim Noah,LAC
1601,Spencer Hawes,MIL
1603,Thaddeus Young,PHO
1607,Nick Young,DEN
1609,Marco Belinelli,SA
1611,Jason Smith,NO
1613,Jared Dudley,LAL
1614,Wilson Chandler,BKN
1617,Aaron Brooks,MIN
1622,Carl Landry,PHI
1639,Marc Gasol,MEM
1655,Joel Anthony,MIL
1670,C.J. Watson,ORL
1678,Anthony Tolliver,NO
1690,Mario Chalmers,MIA
1691,Derrick Rose,MEM
1692,Michael Beasley,BKN
1695,Russell Westbrook,SAC
1696,Eric Gordon,MEM
1697,Danilo Gallinari,MIL
1698,Jerryd Bayless,MIN
1700,Kevin Love,UTH
1701,Brook Lopez,LAC
1703,Alexis Ajinca,NO
1704,Kosta Koufos,SAC
1705,Brandon Rush,POR
1707,Darrell Arthur,PHO
1709,Jason Thompson,TOR
1712,DeAndre Jordan,NO
1713,JaVale McGee,SAC
1714,Marreese Speights,ORL
1715,Courtney Lee,DAL
1716,Robin Lopez,MIL
1717,Ryan Anderson,HOU
1718,Serge Ibaka,IND
1719,Nicolas Batum,LAC
1720,George Hill,IND
1728,Luc Mbah a Moute,HOU
1736,Goran Dragic,MIL
1744,D.J. Augustin,HOU
1745,J.J. Hickson,WAS
1754,O.J. Mayo,MIL
1761,Bobby Brown,HOU
1773,Cartier Martin,DET
1776,Blake Griffin,BOS
1777,Ricky Rubio,CLE
1779,Tyreke Evans,IND
1780,James Harden,CLE
1782,Stephen Curry,GS
1784,Brandon Jennings,MIL
1786,DeMar DeRozan,DEN
1788,James Johnson,IND
1790,Tyler Hansbrough,CHA
1794,Jrue Holiday,POR
1795,Ty Lawson,WAS
1796,Jeff Teague,MIL
1798,Darren Collison,LAL
1803,Taj Gibson,MEM
1804,DeMarre Carroll,HOU
1805,Wayne Ellington,LAL
1806,Toney Douglas,MEM
1810,Dante Cunningham,SA
1815,Jodie Meeks,TOR
1817,Jonas Jerebko,GS
1822,Danny Green,PHI
1826,Patrick Beverley,MIL
1828,Patty Mills,LAC
1838,Marcus Thornton,CLE
1842,DeJuan Blair,PHO
1843,Nando De Colo,TOR
1858,Dionte Christmas,PHI
1867,Garrett Temple,TOR
1875,Alonzo Gee,DEN
1886,Wesley Matthews,ATL
1896,Reggie Williams,NO
1904,John Wall,HOU
1905,Evan Turner,MIN
1906,Derrick Favors,ATL
1907,Wesley Johnson,WAS
1908,DeMarcus Cousins,DEN
1909,Ekpe Udoh,UTH
1910,Greg Monroe,MIN
1911,Al-Farouq Aminu,BOS
1912,Gordon Hayward,OKC
1913,Paul George,BOS
1914,Cole Aldrich,ATL
1916,Ed Davis,CLE
1917,Patrick Patterson,POR
1920,Kevin Seraphin,IND
1921,Eric Bledsoe,POR
1922,Avery Bradley,LAL
1936,Quincy Pondexter,SA
1939,Hassan Whiteside,UTH
1942,Lance Stephenson,IND
1948,Tibor Pleiss,UTH
1956,Jerome Jordan,NO
1964,Ryan Richards,SA
1966,Jeremy Evans,ATL
1967,Nemanja Bjelica,GS
1971,Timofey Mozgov,ORL
1972,Jeremy Lin,GS
1979,Ish Smith,CHA
2007,Manny Harris,DAL
2014,Elijah Millsap,PHO
2017,Donald Sloan,DEN
2023,Kyrie Irving,DAL
2025,Derrick Williams,LAL
2026,Tristan Thompson,CLE
2027,Jonas Valanciunas,DEN
2029,Bismack Biyombo,SA
2030,Brandon Knight,DAL
2031,Kemba Walker,DAL
2032,Jimmer Fredette,PHO
2033,Klay Thompson,MIA
2034,Alec Burks,MIA
2035,Markieff Morris,LAL
2036,Marcus Morris,NY
2037,Kawhi Leonard,LAC
2038,Nikola Vucevic,ORL
2039,Iman Shumpert,BKN
2040,Enes Freedom,BOS
2042,Tobias Harris,SA
2043,Donatas Motiejunas,SA
2045,Kenneth Faried,HOU
2046,Nikola Mirotic,MIL
2047,Reggie Jackson,WAS
2048,MarShon Brooks,CHI
2051,Norris Cole,OKC
2052,Jimmy Butler III,GS
2053,Cory Joseph,ORL
2054,Bojan Bogdanovic,BKN
2057,Shelvin Mack,CHA
2064,Darius Morris,NO
2067,Davis Bertans,CHA
2071,Keith Benson,MIA
2076,DeAndre Liggins,MIA
2078,E'Twaun Moore,ORL
2083,Isaiah Thomas,PHO
2088,Chris Wright,OKC
2107,Lance Thomas,BKN
2124,Dwight Buycks,DET
2132,Greg Smith,DAL
2145,Julyan Stone,CHI
2152,D.J. Kennedy,DEN
2153,Anthony Davis,WAS
2154,Michael Kidd-Gilchrist,NY
2155,Bradley Beal,LAC
2156,Dion Waiters,LAL
2157,Thomas Robinson,ATL
2158,Damian Lillard,POR
2159,Harrison Barnes,SA
2160,Terrence Ross,PHO
2161,Andre Drummond,NY
2162,Austin Rivers,MIN
2163,Meyers Leonard,MIL
2164,Jeremy Lamb,SAC
2166,John Henson,NY
2167,Maurice Harkless,HOU
