id,value,team
615,Kent Shelby,LAC
1038,Leon Johnson,LAC
1533,Chase Cota,HOU
1807,Baltimore Ravens TDSP,BAL
1814,Atlanta Falcons TDSP,ATL
1821,Arizona Cardinals TDSP,ARZ
1828,Buffalo Bills TDSP,BUF
1835,Carolina Panthers TDSP,CAR
1842,Chicago Bears TDSP,CHI
1849,Cincinnati Bengals TDSP,CIN
1856,Dallas Cowboys TDSP,DAL
1863,Denver Broncos TDSP,DEN
1870,Detroit Lions TDSP,DET
1877,Green Bay Packers TDSP,GB
1884,Tennessee Titans TDSP,TEN
1891,Indianapolis Colts TDSP,IND
1898,Jacksonville Jaguars TDSP,JAX
1905,Kansas City Chiefs TDSP,KC
1912,Miami Dolphins TDSP,MIA
1919,Minnesota Vikings TDSP,MIN
1926,New England Patriots TDSP,NE
1933,New Orleans Saints TDSP,NO
1940,New York (NYG) Giants TDSP,NYG
1947,New York (NYJ) Jets TDSP,NYJ
1954,Las Vegas Raiders TDSP,LV
1961,Philadelphia Eagles TDSP,PHI
1968,Pittsburgh Steelers TDSP,PIT
1975,Los Angeles (LAC) Chargers TDSP,LAC
1982,San Francisco 49ers TDSP,SF
1989,Seattle Seahawks TDSP,SEA
1996,Los Angeles (LAR) Rams TDSP,LA
2003,Tampa Bay Buccaneers TDSP,TB
2010,Washington Commanders TDSP,WAS
2175,Jamaal Williams,NO
2871,Cleveland Browns TDSP,CLE
2956,Arizona Cardinals TK,ARZ
2957,Atlanta Falcons TK,ATL
2958,Baltimore Ravens TK,BAL
2959,Buffalo Bills TK,BUF
2960,Carolina Panthers TK,CAR
2961,Chicago Bears TK,CHI
2962,Cincinnati Bengals TK,CIN
2963,Cleveland Browns TK,CLE
2964,Dallas Cowboys TK,DAL
2965,Denver Broncos TK,DEN
2966,Detroit Lions TK,DET
2967,Green Bay Packers TK,GB
2968,Indianapolis Colts TK,IND
2969,Jacksonville Jaguars TK,JAX
2970,Kansas City Chiefs TK,KC
2971,Miami Dolphins TK,MIA
2972,Minnesota Vikings TK,MIN
2973,New England Patriots TK,NE
2974,New Orleans Saints TK,NO
2975,New York (NYJ) Jets TK,NYJ
2976,New York (NYG) Giants TK,NYG
2977,Las Vegas Raiders TK,LV
2978,Philadelphia Eagles TK,PHI
2979,Pittsburgh Steelers TK,PIT
2980,Los Angeles (LAC) Chargers TK,LAC
2981,San Francisco 49ers TK,SF
2982,Seattle Seahawks TK,SEA
