_key,active,age,birth_city,birth_country,birth_date,birth_state,college,competitions,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,kalshi_id,last_name,metadata,metadata.channel_id,metadata.genius_id,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_off_2026_0,metadata.injury_override_off_2026_1,metadata.injury_override_post_2024_3,metadata.injury_override_pre_2025_0,metadata.injury_override_pre_2026_1,metadata.injury_override_pre_2026_2,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2020_10,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2021_3,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_13,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2024_6,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2025_1,metadata.injury_override_regular_2025_10,metadata.injury_override_regular_2025_11,metadata.injury_override_regular_2025_12,metadata.injury_override_regular_2025_15,metadata.injury_override_regular_2025_16,metadata.injury_override_regular_2025_2,metadata.injury_override_regular_2025_3,metadata.injury_override_regular_2025_4,metadata.injury_override_regular_2025_5,metadata.injury_override_regular_2025_6,metadata.injury_override_regular_2025_7,metadata.injury_override_regular_2025_8,metadata.injury_override_regular_2025_9,metadata.name,metadata.override_active,metadata.rookie_year,metadata.source_id,metadata.years_exp_shift,news_updated,number,oddsjam_id,opta_id,pandascore_id,player_id,player_shard,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,swish_id,team,team_abbr,team_changed_at,weight,yahoo_id,years_exp
1,false,28,,,1988-12-01,,Tulsa,[],,,15299,18,"[""QB""]",GJ,GJ Kinne,,#gjkinne-NFL-FA-2,"6'2""",,,,,,,Kinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,7,QB,,,8833,,gj,gjkinne,kinne,9999999,nfl,a668bd7d-56e5-45ff-a2c8-d618cd1fef95,399453,Inactive,,,,,234,26154,1
10,false,35,,,1985-01-01,,North Carolina State,[],,,9702,384,"[""LB""]",Stephen,Stephen Tulloch,,#stephentulloch-NFL-FA-50,"5'11""",Killian (FL),,,,,,Tulloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,9,LB,,,4748,3936,stephen,stephentulloch,tulloch,9999999,nfl,e4a19da6-a95d-47b1-a8ae-cbaad5777487,,Inactive,,,,,246,7865,14
100,false,43,,,1976-10-07,,Michigan,[],,,1442,2670,"[""DB""]",Charles,Charles Woodson,,#charleswoodson-NFL-FA-24,"6'1""",Ross (OH),,,,,,Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,100,2,FS,,,904,840,charles,charleswoodson,woodson,9999999,nfl,20b0aa93-45ba-439a-b46c-6f75081b543b,,Inactive,,,,,210,4271,22
1000,true,35,,,1986-06-04,,Marshall,[],,,13851,13520,"[""LB""]",Albert,Albert McClellan,00-0027560,#albertmcclellan-NFL-FA-47,74,Kathleen (FL),,,,,,McClellan,,1116852638319640576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572495332515,47,,,,1000,1,LB,,,7285,,albert,albertmcclellan,mcclellan,9999999,nfl,74c595a3-b683-49b3-90f3-fd8327857b1d,286877,Active,,,,,235,24358,12
1001,false,35,,,1984-11-09,,Fresno State,[],,,13945,13527,"[""RB""]",Tyler,Tyler Clutts,,#tylerclutts-NFL-FA-44,"6'2""",Clovis (CA),,,,,,Clutts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,1001,1,FB,,,7298,,tyler,tylerclutts,clutts,9999999,nfl,cb96a5c5-d178-43c0-b0df-a78c71818060,226579,Inactive,,,,,250,24769,9
1002,false,30,,,1987-02-19,,Texas - El Paso,[],,,13345,13537,"[""DB""]",Damon,Damon Cromartie-Smith,,#damoncromartiesmith-NFL-FA-32,"6'2""",,,,,,,Cromartie-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,1002,8,SS,,,,,damon,damoncromartiesmith,cromartiesmith,9999999,nfl,e15c91fe-34cb-484d-9d0d-335a333f626f,,Inactive,,,,,210,24316,2
1003,false,31,,,1986-04-27,,LSU,[],,,13386,13555,"[""WR""]",Trindon,Trindon Holliday,,#trindonholliday-NFL-FA-15,"5'5""",,,,,,,Holliday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,1003,1,WR,,,,,trindon,trindonholliday,holliday,9999999,nfl,1b102bf3-d9b0-47eb-b862-a0240362bf23,303892,Inactive,,,,,159,24173,6
1004,false,29,,,1988-08-21,,Auburn,[],,,13210,13557,"[""RB""]",Ben,Ben Tate,,#bentate-NFL-FA-44,"5'11""",,,,,,,Tate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,1004,8,RB,,,,,ben,bentate,tate,9999999,nfl,c8e9990a-9d89-411c-9d99-c0afa7eaef8c,,Inactive,,,,,220,,5
1005,false,32,,,1988-06-09,,Louisiana Tech,[],,,13296,13569,"[""DL""]",D'Anthony,D'Anthony Smith,,#danthonysmith-NFL-FA-70,"6'2""",Pickering (LA),,,,,,Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,1005,1,DT,,,6592,,danthony,danthonysmith,smith,9999999,nfl,ae6bc6c0-a1b9-469b-81a8-7a542cb6da04,,Inactive,,,,,300,24049,10
1006,false,33,,,1987-03-25,,Wyoming,[],,,13860,13576,"[""DL""]",Mitch,Mitch Unrein,00-0027573,#mitchunrein-NFL-FA-98,"6'4""",Eaton (CO),,,,,,Unrein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552512058052,98,,,,1006,3,DE,,,7319,,mitch,mitchunrein,unrein,9999999,nfl,d867198a-36ec-4a99-9037-a093216f99d8,323806,Inactive,,,,,301,24451,10
1007,false,31,,,1986-04-09,,Rutgers,[],,,12874,13586,"[""TE""]",Kevin,Kevin Brock,,#kevinbrock-NFL-FA-85,"6'5""",,,,,,,Brock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,1007,2,TE,,,,,kevin,kevinbrock,brock,9999999,nfl,7a34ece4-13f7-4582-a5e7-76327d78ce46,267363,Inactive,,,,,249,9699,3
1008,false,31,,,1988-10-17,,Washington,[],,,13265,13590,"[""LB""]",Donald,Donald Butler,,#donaldbutler-NFL-FA-56,"6'1""",Del Campo (CA),,,,,,Butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,1008,2,LB,,,6611,5883,donald,donaldbutler,butler,9999999,nfl,7a435b1f-e36c-486c-924d-a7d72d997991,,Inactive,,,,,242,24054,10
1009,false,32,,,1987-11-04,,Cornell,[],,,13662,13595,"[""WR""]",Bryan,Bryan Walters,,#bryanwalters-NFL-FA-81,"6'0""",Juanita (WA),,,,,,Walters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,1009,1,WR,,,6858,,bryan,bryanwalters,walters,9999999,nfl,ec56adb7-2414-4ca4-823e-c990fd083a77,325993,Injured Reserve,,,,,190,24436,10
