_key,active,age,birth_city,birth_country,birth_date,birth_state,college,competitions,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,kalshi_id,last_name,metadata,metadata.channel_id,metadata.genius_id,metadata.injury_override_off_2021_0,metadata.injury_override_off_2025_0,metadata.injury_override_off_2025_1,metadata.injury_override_off_2026_0,metadata.injury_override_off_2026_1,metadata.injury_override_post_2024_3,metadata.injury_override_pre_2025_0,metadata.injury_override_pre_2026_1,metadata.injury_override_pre_2026_2,metadata.injury_override_regular_2020_1,metadata.injury_override_regular_2020_10,metadata.injury_override_regular_2020_5,metadata.injury_override_regular_2020_8,metadata.injury_override_regular_2021_1,metadata.injury_override_regular_2021_3,metadata.injury_override_regular_2021_4,metadata.injury_override_regular_2022_1,metadata.injury_override_regular_2024_10,metadata.injury_override_regular_2024_11,metadata.injury_override_regular_2024_12,metadata.injury_override_regular_2024_13,metadata.injury_override_regular_2024_14,metadata.injury_override_regular_2024_15,metadata.injury_override_regular_2024_3,metadata.injury_override_regular_2024_4,metadata.injury_override_regular_2024_6,metadata.injury_override_regular_2024_7,metadata.injury_override_regular_2024_9,metadata.injury_override_regular_2025_1,metadata.injury_override_regular_2025_10,metadata.injury_override_regular_2025_11,metadata.injury_override_regular_2025_12,metadata.injury_override_regular_2025_15,metadata.injury_override_regular_2025_16,metadata.injury_override_regular_2025_2,metadata.injury_override_regular_2025_3,metadata.injury_override_regular_2025_4,metadata.injury_override_regular_2025_5,metadata.injury_override_regular_2025_6,metadata.injury_override_regular_2025_7,metadata.injury_override_regular_2025_8,metadata.injury_override_regular_2025_9,metadata.name,metadata.override_active,metadata.rookie_year,metadata.source_id,metadata.years_exp_shift,number,oddsjam_id,opta_id,pandascore_id,player_id,player_shard,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,sport,sportradar_id,stats_id,status,swish_id,team,team_abbr,team_changed_at,weight,yahoo_id,years_exp
10210,true,26,,,2000-02-24,,Alabama,[],5,TE,,24421,"[""TE""]",Cameron,Cameron Latu,,#cameronlatu-NFL-PHI-36,77,Olympus (UT),,,,,4fd6966e-f7b6-42c0-9a2c-bc8be9c28137,Latu,,1113708874650644480,1081521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,36,338B1EFE4E81,,,10210,4,TE,,,16931,,cameron,cameronlatu,latu,nfl,3763a2ec-ee98-4cf4-9aa7-ee626057c56f,,Active,1125739,PHI,,,244,,3
10212,true,26,,,1999-09-08,,Cincinnati,[],3,TE,,24375,"[""TE""]",Josh,Josh Whyle,,#joshwhyle-NFL-GB-81,79,La Salle (OH),,,,,af875fc8-ef0a-47bc-a470-3bd02ce6135e,Whyle,,1113708832116207616,1079225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,81,9E50F7704FF1,,,10212,9,TE,,,16866,,josh,joshwhyle,whyle,nfl,601467c7-b593-472d-a147-b8e7bfdbe990,,Active,1107037,GB,,,248,,3
10213,true,25,,,2001-03-08,,Cincinnati,[],1,RWR,,24177,"[""WR""]",Tre,Tre Tucker,,#tretucker-NFL-LV-1,68,Cuyahoga Valley Christian Academy (OH),,,,,11cb88bb-cbd6-4b21-9ac3-7ff075c7d4cf,Tucker,,1113708771403657217,1399027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,1,5B9229CE1E0B,,,10213,7,WR,,,16694,,tre,tretucker,tucker,nfl,9beb72c5-5a81-413c-ada3-ff4854c95cf4,,Active,1164979,LV,,,182,,3
10214,true,25,,,2001-02-03,,Clemson,[],4,TE,,24148,"[""TE""]",Davis,Davis Allen,,#davisallen-NFL-LAR-87,78,Calhoun (GA),Quadriceps,,,Questionable,b9a2ce47-daae-4a85-8faf-ba9392b7ce7f,Allen,,1113708701136482304,1399236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,87,EECEBC603FD4,,,10214,2,TE,,,17030,,davis,davisallen,allen,nfl,02a77d8c-3b89-4a61-86a2-0c005c1e589a,,Active,1161664,LAR,,,253,,3
10215,true,27,,,1999-03-10,,Fresno State,[],4,QB,,23249,"[""QB""]",Jake,Jake Haener,,#jakehaener-NFL-NYG-14,73,Monte Vista (CA),,,,,cc58630f-1a70-48d0-9bd2-f62fffc364f1,Haener,,1113708684837416960,1005706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,14,C316109EF9FD,,,10215,9,QB,,,16912,,jake,jakehaener,haener,nfl,70376919-8220-4128-a089-72d5b10f2346,,Active,1049254,NYG,,,200,,3
10218,true,26,,,2000-06-01,,Iowa State,[],3,RWR,,24347,"[""WR""]",Xavier,Xavier Hutchinson,,#xavierhutchinson-NFL-HOU-19,75,Bartram Trail (FL),,,,,4c3bfb34-7345-40b7-840e-88487ed6405e,Hutchinson,,1113708787660779521,1399255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,19,A276263B392A,,,10218,8,WR,,,16932,,xavier,xavierhutchinson,hutchinson,nfl,aed98af2-b228-4b74-a804-2d210bd11122,,Active,1213636,HOU,,,210,,3
10219,true,26,,,1999-09-26,,Kentucky,[],2,RB,,23237,"[""RB""]",Chris,Chris Rodriguez,,#chrisrodriguez-NFL-JAX-24,71,Ola (GA),,,,,679d8532-e29c-410d-a34b-3d13de37a65d,Rodriguez,,1113708699303571456,1077995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,24,BB9F549BE535,,,10219,8,RB,,,16933,,chris,chrisrodriguez,rodriguez,nfl,ae5c4758-cb53-4f17-8763-b91381036af3,,Active,1113403,JAX,,,224,,3
10220,true,27,,,1999-06-22,,Miami (FL),[],3,TE,,23143,"[""TE""]",Will,Will Mallory,,#willmallory-NFL-IND-86,76,Providence School (FL),Thumb,,,Questionable,79b7a79c-25b3-42bd-a520-1036fce116c6,Mallory,,1113708777388929024,1073514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,86,01DD05A39F76,,,10220,0,TE,,,17014,,will,willmallory,mallory,nfl,5d4a5e4f-7c74-4b4c-b8e5-33bb831e3057,,Active,1121873,IND,,,239,,3
10221,true,26,,,2000-01-28,,Michigan,[],8,RWR,,22627,"[""WR""]",Ronnie,Ronnie Bell,,#ronniebell-NFL-NO-11,72,Park Hill (MO),,,,,304c4120-1cca-4171-bedb-094b9b46eac6,Bell,,1113708879033692161,1080599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,11,65B7D38E6C0D,,,10221,5,WR,,,16843,,ronnie,ronniebell,bell,nfl,ba06804a-b84c-408a-8ef6-5226d8424479,,Active,1130213,NO,,,192,,3
10222,true,26,,,2000-04-28,,Michigan State,[],2,SWR,,23233,"[""WR""]",Jayden,Jayden Reed,,#jaydenreed-NFL-GB-11,71,Naperville Central (IL),,,,,510e8ca5-a6b7-4af5-b4d7-e3cee687dfe7,Reed,,1113708797341233152,1074928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,,,11,1EDF7EE1BA66,,,10222,5,WR,,,16977,,jayden,jaydenreed,reed,nfl,23a306bc-5f77-4574-a575-bd599f243185,,Active,1123398,GB,,,187,,3
