_key,full_name,team,position,status,injury_status,age,years_exp,number,college,espn_id,gsis_id,sportradar_id
10210,Cameron Latu,PHI,TE,Active,,26,3,36,Alabama,,,3763a2ec-ee98-4cf4-9aa7-ee626057c56f
10212,Josh Whyle,GB,TE,Active,,26,3,81,Cincinnati,,,601467c7-b593-472d-a147-b8e7bfdbe990
10213,Tre Tucker,LV,WR,Active,,25,3,1,Cincinnati,,,9beb72c5-5a81-413c-ada3-ff4854c95cf4
10214,Davis Allen,LAR,TE,Active,Questionable,25,3,87,Clemson,,,02a77d8c-3b89-4a61-86a2-0c005c1e589a
10215,Jake Haener,NYG,QB,Active,,27,3,14,Fresno State,,,70376919-8220-4128-a089-72d5b10f2346
10218,Xavier Hutchinson,HOU,WR,Active,,26,3,19,Iowa State,,,aed98af2-b228-4b74-a804-2d210bd11122
10219,Chris Rodriguez,JAX,RB,Active,,26,3,24,Kentucky,,,ae5c4758-cb53-4f17-8763-b91381036af3
10220,Will Mallory,IND,TE,Active,,27,3,86,Miami (FL),,,5d4a5e4f-7c74-4b4c-b8e5-33bb831e3057
10221,Ronnie Bell,NO,WR,Active,,26,3,11,Michigan,,,ba06804a-b84c-408a-8ef6-5226d8424479
10222,Jayden Reed,GB,WR,Active,,26,3,11,Michigan State,,,23a306bc-5f77-4574-a575-bd599f243185
10223,Eric Gray,NYG,RB,Active,,26,3,20,Oklahoma,,,dcc536c1-36f2-4e34-8028-ccf32d930018
10224,Brayden Willis,SF,TE,Active,,26,3,9,Oklahoma,,,733cc366-53e3-4703-a2fc-2aa860272cf3
10225,Jonathan Mingo,DAL,WR,Active,,25,3,81,Ole Miss,,,6cf0c82d-87e4-4cfc-8475-77667ed92796
10226,Andrei Iosivas,CIN,WR,Active,,26,3,80,Princeton,,,30c0df5e-bb77-4eee-8390-8fc13844e1c3
10227,Payne Durham,TB,TE,Active,,26,3,87,Purdue,,,c4a8b4c9-5db8-4187-852b-9557bef8724e
10228,Charlie Jones,CIN,WR,Active,,27,3,15,Purdue,,,c634c231-61fb-4725-8533-2cce14bfebbf
10229,Rashee Rice,KC,WR,Active,,26,3,4,SMU,,,cbd73c09-da07-48b0-a0d6-f248dfa631b6
10231,Elijah Higgins,ARI,TE,Active,Questionable,25,3,84,Stanford,,,a01b7698-d67f-4b60-b2fb-4c667336b718
10232,Michael Wilson,ARI,WR,Active,,26,3,14,Stanford,,,b91be982-fccd-448e-869b-e9b5148a1730
10234,Derius Davis,LAC,WR,Active,,25,3,12,TCU,,,21bf2521-3382-4e62-8249-a083435595b3
10235,Roschon Johnson,CHI,RB,Active,,25,3,23,Texas,,,e3c414c0-be8c-4807-af9c-f91d89c83e60
10236,Dalton Kincaid,BUF,TE,Active,,26,3,86,Utah,,,b961fa15-0676-4948-b95f-56d06319d40e
1035,Nate Ebner,NYG,DB,Inactive,,33,10,43,Ohio State,15125,00-0029570,93927d6e-9271-4c1e-8239-cc20fd788ba9
1039,Tavon Wilson,SF,DB,Inactive,,32,10,32,Illinois,14977,00-0029410,cbe81592-1ee2-4bf1-870a-2578c4c8267e
10444,Cedric Tillman,CLE,WR,Active,Questionable,26,3,19,Tennessee,,,148330d9-5182-4b58-b695-8067aaba4731
1052,Demario Davis,NYJ,LB,Active,,37,14,56,Arkansas State,14958,00-0029607,e6221da0-1ce0-4f60-85b5-f2094e9d2863
10857,Stetson Bennett,LAR,QB,Active,,28,3,13,Georgia,,,a5cc5958-01f9-4b7d-a8d9-c44625d53ed5
10859,Sam LaPorta,DET,TE,Active,Questionable,25,3,87,Iowa,,,3059f1e5-1871-4458-9e90-9b9917874c61
10860,Malik Cunningham,DET,WR,Active,,27,3,15,Louisville,,,2bf2f410-e6f2-11ed-abca-c7a3a205e21d
10866,Aidan O'Connell,LV,QB,Active,,27,3,12,Purdue,,,5891a917-9071-4bc2-a652-7f702c44cbd2
10867,Jake Bobo,SEA,WR,Active,Questionable,28,3,19,UCLA,,,7d80dd50-e9f5-11ed-9c34-3f26f2e7ed88
10871,Luke Schoonmaker,DAL,TE,Active,,27,3,86,Michigan,,,143957a7-4649-4a19-b351-e606edc75ebd
10872,Felix Anudike-Uzomah,KC,DE,Active,,24,3,91,Kansas State,,,0f9883f3-bff3-4247-8e90-7df2066070c6
10873,Nolan Smith,PHI,LB,Active,,25,3,3,Georgia,,,e9194ad2-d400-4dfe-9f4f-8b984537df60
10874,Bryan Bresee,NO,DT,Inactive,IR,24,3,90,Clemson,,,98884f9f-5117-476a-a20a-809b38714e6d
10875,Myles Murphy,CIN,DL,Active,Questionable,24,3,99,Clemson,,,fb188308-cd65-4c61-b8c5-b9252b638b09
10876,Anton Harrison,JAX,OL,Active,,24,3,77,Oklahoma,,,9e6926a1-830d-4051-87a4-64c06a1e6d5d
10877,Mazi Smith,NYJ,DL,Active,,25,3,58,Michigan,,,8f71baa6-45f2-4b27-8d26-508290a50604
10878,Deonte Banks,NYG,DB,Active,,25,3,2,Maryland,,,e905a38b-bf94-4d46-b9e3-a7b534258a20
10879,Calijah Kancey,TB,DL,Active,,25,3,94,Pittsburgh,,,cabe57e5-4675-40cf-9090-58c63f823e70
10880,Jack Campbell,DET,LB,Active,,25,3,46,Iowa,,,1f7ce27f-61ef-47e5-bd48-eac4b1c0228f
10881,Christian Gonzalez,NE,DB,Active,Questionable,24,3,0,Oregon,,,e847f127-f5f4-41a0-87bb-b89e546e0df4
10882,Emmanuel Forbes,LAR,CB,Active,,25,3,1,Mississippi State,,,0c767043-de67-4d90-af09-95c45a8ceeaa
10883,Will McDonald,NYJ,DE,Active,,27,3,9,Iowa State,,,21792a74-7864-4234-bc47-891d5f9e7024
10884,Broderick Jones,PIT,OL,Active,,25,3,77,Georgia,,,d96e572c-239f-4d88-8efa-282e8ace9e78
